group_type,group,support,n,rate
condition,CTRL1,1,1,0.08620689655172414
condition,CTRL1,2,129,11.120689655172415
condition,CTRL1,3,1030,88.79310344827586
condition,CTRL2,1,2,0.1724137931034483
condition,CTRL2,2,117,10.086206896551724
condition,CTRL2,3,1041,89.74137931034483
condition,CTRL3,1,11,0.9499136442141624
condition,CTRL3,2,114,9.844559585492227
condition,CTRL3,3,1033,89.20552677029362
condition,G1,1,32,0.9213936078318457
condition,G1,2,667,19.205298013245034
condition,G1,3,2774,79.87330837892313
condition,G2,1,44,1.2650948821161587
condition,G2,2,540,15.526164462334675
condition,G2,3,2894,83.20874065554916
condition,G3,1,2,0.057520851308599366
condition,G3,2,115,3.3074489502444635
condition,G3,3,3360,96.63503019844694
condition_family,direct_stated_values,1,3,0.12931034482758622
condition_family,direct_stated_values,2,246,10.60344827586207
condition_family,direct_stated_values,3,2071,89.26724137931035
condition_family,world_change_prompts,1,13,0.28047464940668826
condition_family,world_change_prompts,2,229,4.94066882416397
condition_family,world_change_prompts,3,4393,94.77885652642934
condition_family,cache_broken_stated_values,1,76,1.093367860739462
condition_family,cache_broken_stated_values,2,1207,17.364407998849085
condition_family,cache_broken_stated_values,3,5668,81.54222414041145
